2026-08-04 19:13:25,122 | INFO     | [scheduler.py:66] | [scheduler] | 🛑 تم إيقاف الجدول الزمني والمهام الخلفية بأمان تام وحفظ استقرار الموارد.
2026-08-04 19:13:25,122 | INFO     | [main.py:90] | [main] | ✅ تم إيقاف المداولات واللوجستيات الخلفية بأمان ت تام.
2026-08-04 19:15:17,128 | INFO     | [main.py:53] | [main] | 🚀 [AymnGuard Core v5.0] إدراج نواة الأمان والتشغيل المؤسسي قيد البدء...
2026-08-04 19:15:17,134 | INFO     | [database.py:50] | [database] | ⚙️ بدء عملية المزامنة وهندسة الجداول داخل قاعدة البيانات...
2026-08-04 19:15:17,134 | INFO     | [database.py:52] | [database] | ✅ تمت تهيئة كافة الجداول والهياكل بنجاح مؤسسي.
2026-08-04 19:15:17,135 | INFO     | [main.py:59] | [main] | ✅ تم إنجاز تهيئة قواعد البيانات ومواعيد الاتصال بنجاح.
2026-08-04 19:15:17,135 | INFO     | [base.py:507] | [base] | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-08-04 19:15:17,135 | INFO     | [scheduler.py:44] | [scheduler] | ⚙️ تم إعداد وتهيئة جدول المهام الخلفية المؤسسية (UTC) بنجاح تام وخلو كامل من التحذيرات.
2026-08-04 19:15:17,135 | INFO     | [base.py:1092] | [base] | Added job "AymnGuard Enterprise Health Audit (UTC)" to job store "default"
2026-08-04 19:15:17,135 | INFO     | [base.py:214] | [base] | Scheduler started
2026-08-04 19:15:17,136 | INFO     | [scheduler.py:54] | [scheduler] | ▶️ تم إقلاع وتشغيل محرك الجدولة والمهام الخلفية بنجاح مؤسسي مطلق.
2026-08-04 19:15:17,136 | INFO     | [main.py:68] | [main] | ✅ قنوات المتابعة والجدولة الزمنية قيد التشغيل التام.
2026-08-04 19:15:17,136 | WARNING  | [main.py:82] | [main] | ℹ️ يعمل بوت تليجرام في وضع الاستماع المحلي أو اليدوي.
2026-08-04 19:16:59,158 | WARNING  | [main.py:87] | [main] | 🛑 [AymnGuard Core] إيقاف تشغيل النظام وأمان الأرجوحة اللوجستية قيد التنفيذ...
2026-08-04 19:16:59,165 | INFO     | [base.py:245] | [base] | Scheduler has been shut down
2026-08-04 19:16:59,168 | INFO     | [scheduler.py:66] | [scheduler] | 🛑 تم إيقاف الجدول الزمني والمهام الخلفية بأمان تام وحفظ استقرار الموارد.
